Year,Austria,Belgium,Bulgaria,Republic of Cyprus,Czech Republic,Germany,Denmark,Euro area,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Sweden
1991,3.64187153111726,2.87662448038799,11.395306,3.8880061610584,36.1923883751988,3.08507976027413,2.65945274364057,3.23396170780775,6.93513966316581,5.874704492,1.51176606854524,2.54708482952901,6.41908648099007,19.7877414531027,3.12572269,8.775176065,1.80139469390592,7.58132868312238,4.227174689,1.82284159066207,5.093834246,3.35087387479322,3.11704954082228,9.570507947,10.0861852678023,42.074091915,3.974135039,3.741880501,8.24678891530533
1992,3.47909329454419,3.42452455952036,40.8913,6.04138227637534,12.3572625666754,5.30619664154659,1.65591108674465,3.64174499769207,6.71077117808312,5.874704492,0.887746783677983,1.96705575674531,3.32097929584225,14.7988143017242,3.12572269,21.5091796494696,2.81222187406782,4.36811548625116,4.227174689,3.72907157121564,5.093834246,3.55441842416849,2.4957407667155,38.6254669474972,11.4460318136797,42.074091915,3.974135039,3.741880501,1.01534124278373
1993,2.75708463928996,3.99323192277686,40.8913,4.80313298735663,21.0088028948592,3.88366391994282,0.579917803734673,3.99323192277686,4.53724126311641,5.874704492,1.76590123152506,1.62350295323319,2.733044224669,14.4287473088639,3.12572269,21.2784550856639,5.17575214744367,3.88595185807743,4.227174689,5.97276445786341,5.093834246,2.85450591841187,1.59750862742143,30.6427963969414,7.37643004499773,42.074091915,15.577911719693,3.741880501,2.21227109193029
1994,2.52494261860797,2.09430477567447,40.8913,5.27098234276015,12.3419666441486,2.05160802865106,1.56550235871995,3.54237732722473,3.87984191925736,5.874704492,1.84541095651166,0.924864157993113,1.39362358599935,11.1818883770146,3.12572269,19.4910605451918,1.69453086004539,3.54247357636952,4.227174689,3.54237732722473,5.093834246,3.56174406945019,2.06273353612039,37.234034809391,7.27762763113292,42.074091915,13.4484864487778,3.741880501,2.58804231614012
1995,1.81391819271643,1.22076958003412,40.8913,13.5978068425104,8.82112081344162,1.98132464852524,1.28239062894038,3.03399662040185,4.93312981120783,5.874704492,4.20111318922798,1.12478837456173,11.4890031346056,9.79183629063888,3.12572269,26.7327889444513,3.03399662040185,4.92524449399963,4.227174689,2.3320697783624,5.093834246,1.40857784575321,2.06462349671411,27.9376478302075,3.42861722997527,43.9334732007336,9.89107061311299,3.741880501,3.81139139844461
1996,0.986205502429385,0.476619740910181,40.8913,2.64101112214834,9.9050939276059,0.602279503049189,2.01418362468388,3.05055118381057,3.4600912454728,22.5394844498351,-0.0782759655458847,1.35807806646662,4.13727652976044,7.63570008913186,3.8531034540169,21.930280736456,2.29225237922243,4.5076232078974,18.9905281611011,3.78355783251419,12.4342660093706,1.91171152134206,1.04023440661661,17.9523422828688,2.39098551097668,44.0022839129307,4.53845765872902,11.4524565649195,1.00905860647234
1997,1.26699553666487,0.757624410107738,40.8913,2.23690735679089,8.31150714911068,0.272816321974162,2.01391957101438,3.26399976577095,2.355985604347,9.9224728330009,2.08042177103114,0.878201639970939,-0.147098031242621,6.55338053523576,6.89040933838865,20.2607985778717,3.92925999502648,2.56737468974622,11.4486891249753,2.61954368325136,5.88733415793435,5.61504713612797,2.64279189663814,13.6665453459093,3.88520763490376,42.074091915,4.78876827484636,8.43083359163532,1.52551795787954
1998,0.441905227151835,1.80564350098564,33.9510285620481,1.96567971118537,9.80796368629828,0.688465401249033,1.23214285936466,2.83226962023584,2.5666017086474,6.8945046911586,3.09793753182429,0.950262691440912,1.27228495808586,5.10356836520893,8.17760254870845,13.7672389258277,6.55278085681785,2.40262167809806,3.35143703021137,-2.03254645964208,4.82382490013987,1.80358671108553,2.0807336761725,11.0217488088362,3.82503336507864,42.074091915,4.85331681891394,7.42803135144744,0.812959691365791
1999,0.256349694475659,0.598897782801686,3.31913959417606,2.30199201920756,3.04179627426102,0.343135141558832,1.68475372464907,2.42155107594962,2.54111013269167,6.46101754257364,0.927035885223574,0.203811154729848,1.37313866999524,3.62273328012743,3.51334774957242,8.12026432054157,4.37619339032121,1.5361284470883,-1.25689219624905,4.76461985998604,1.49184828686271,2.93639159791698,1.28336999636159,6.1645095253735,3.37052757718268,42.074091915,7.21505253628003,6.5314195214609,0.897864615617408
2000,1.36404091396398,2.01461738713986,7.38083746669133,2.74340599040788,1.84213372780377,-0.489389005327581,3.01797428833477,3.03658034958247,3.32975470875705,3.6847064485182,1.63783143233083,1.5532902530466,1.14388786538939,1.59267068745956,4.33923661627327,9.58348091637275,6.8749502859407,1.79239796601405,1.29853834645186,4.60847302260945,3.61822725593801,-10.1180908399818,3.42036982108445,6.12336284210544,3.42026872745282,43.1807891473077,9.48953277606826,5.56526765538521,1.50577048243903
